bin,dB
20,-66.5974808
40,-76.7552433
60,-61.90490153
80,-67.241260555
100,-68.35737612
120,-69.38510707
140,-61.56995967
160,-63.09762957
180,-72.44113353
200,-73.40019419
220,-77.6199513
240,-69.25428775
260,-71.98203852
280,-82.5797901
300,-94.1469288
320,-84.3246517
340,-83.1819172
360,-88.5733967
380,-91.5859432
400,-98.3319798
420,-91.8557415
440,-80.6246777
460,-78.0678501
480,-83.3317127
500,-87.21986580000001
520,-82.9675885
540,-87.9913311
560,-86.5126438
580,-83.3170147
600,-88.205637
620,-83.5206585
640,-83.8427792
660,-85.8196507
680,-91.7820759
700,-81.9021168
720,-81.1016331
740,-82.9109669
760,-81.5503025
780,-86.5267544
800,-82.6545964
820,-85.3750401
840,-83.6865177
860,-80.3316326
880,-80.1148968
900,-78.9172459
920,-76.41378978
940,-73.53133204
960,-71.46945384
980,-64.63337329
1000,0.0
1020,-64.80903819
1040,-71.0201874
1060,-73.87127497
1080,-74.8724232
1100,-79.3010617
1120,-79.1668415
1140,-81.2651654
1160,-81.9276791
1180,-86.7978535
1200,-83.2885685
1220,-84.1005955
1240,-89.38646130000001
1260,-86.4053059
1280,-91.84872250000001
1300,-86.6282673
1320,-88.7030125
1340,-93.9209385
1360,-87.13249400000001
1380,-85.6834851
1400,-88.8578396
1420,-88.8761997
1440,-95.0235691
1460,-87.7024174
1480,-89.6056195
1500,-89.1545315
1520,-89.58391
1540,-88.1924229
1560,-91.8829441
1580,-91.1341572
1600,-93.79421049999999
1620,-88.0233708
1640,-95.8127461
1660,-95.1112767
1680,-94.6293659
1700,-90.49648859999999
1720,-101.32353979999999
1740,-92.8471356
1760,-94.1569538
1780,-89.6888333
1800,-96.2900753
1820,-90.1029415
1840,-92.5168629
1860,-93.9872914
1880,-95.7454357
1900,-97.8313465
1920,-95.7215901
1940,-97.5158673
1960,-99.0072785
1980,-96.0615597
2000,-83.24793439999999
2020,-89.598753
2040,-89.079813
2060,-92.0384999
2080,-89.289423
2100,-94.1468029
2120,-94.3578778
2140,-95.1292248
2160,-90.7473316
2180,-98.4883557
2200,-105.14636999999999
2220,-116.8305207
2240,-100.1118546
2260,-104.0721131
2280,-98.004633
2300,-99.3775482
2320,-104.448021
2340,-93.8068562
2360,-93.72051809999999
2380,-94.2328472
2400,-97.0909939
2420,-96.325243
2440,-95.870802
2460,-97.3857746
2480,-88.3676968
2500,-94.6841488
2520,-105.1492615
2540,-96.4768582
2560,-91.7646122
2580,-92.3258457
2600,-90.373621
2620,-93.5857029
2640,-95.105402
2660,-92.7219715
2680,-93.7560101
2700,-102.7339859
2720,-111.5245285
2740,-90.8123112
2760,-97.771513
2780,-95.1093083
2800,-92.246397
2820,-97.2733135
2840,-92.851389
2860,-97.5836659
2880,-98.2424374
2900,-95.6826763
2920,-96.7475186
2940,-94.8417225
2960,-107.3383484
2980,-94.7963124
3000,-80.5704861
3020,-96.0849552
3040,-94.7958546
3060,-93.7465458
3080,-96.74240689999999
3100,-97.2434178
3120,-95.78332710000001
3140,-92.5692539
3160,-90.7167225
3180,-94.9216328
3200,-105.11904150000001
3220,-122.0412064
3240,-104.0758209
3260,-98.3728733
3280,-95.9870472
3300,-93.8664952
3320,-103.4987259
3340,-96.081316
3360,-102.3279038
3380,-90.118639
3400,-100.9932022
3420,-93.4086437
3440,-95.31457710000001
3460,-90.8481694
3480,-96.5566693
3500,-107.3081131
3520,-94.6217823
3540,-94.1354313
3560,-88.5386982
3580,-93.3150502
3600,-91.6182385
3620,-104.1781388
3640,-99.1865921
3660,-98.5295277
3680,-95.0180874
3700,-100.31374360000001
3720,-96.8149357
3740,-102.9912796
3760,-99.77841190000001
